latitude,longitude,name,desc,color,source,precision
43.042469,-89.4039688,"Madison, WI","Madison, WI",,Bing Maps,city/town
44.6666794,-90.1738281,"Marshfield, WI","Marshfield, WI",,Bing Maps,city/town
41.1199417,-87.8604126,"Kankakee, IL","Kankakee, IL",,Bing Maps,city/town
42.4930992,-92.3421478,"Waterloo, IA","Waterloo, IA",,Bing Maps,city/town
47.421051,-92.9417419,"Hibbing, MN","Hibbing, MN",,Bing Maps,city/town
44.0193481,-92.4591522,"Rochester, MN","Rochester, MN",,Bing Maps,city/town
40.70047,-99.0834732,"Kearney, NE","Kearney, NE",,Bing Maps,city/town
41.9763412,-91.6737595,"Cedar Rapids, IA","Cedar Rapids, IA",,Bing Maps,city/town
42.3620796,-87.8338699,"Waukegan, IL","Waukegan, IL",,Bing Maps,city/town
44.0193481,-92.4591522,"Rochester, MN","Rochester, MN",,Bing Maps,city/town
46.8759117,-96.7817612,"Fargo, ND","Fargo, ND",,Bing Maps,city/town
40.6921387,-89.5877609,"Peoria, IL","Peoria, IL",,Bing Maps,city/town
42.4779015,-91.8894424,"Independence, IA","Independence, IA",,Bing Maps,city/town
44.6666794,-90.1738281,"Marshfield, WI","Marshfield, WI",,Bing Maps,city/town
42.025341,-93.6202011,"Ames, IA","Ames, IA",,Bing Maps,city/town
44.6666794,-90.1738281,"Marshfield, WI","Marshfield, WI",,Bing Maps,city/town
44.0193481,-92.4591522,"Rochester, MN","Rochester, MN",,Bing Maps,city/town
46.8725395,-96.8848419,"West Fargo, ND","West Fargo, ND",,Bing Maps,city/town
46.9233513,-98.0022583,"Valley City, ND","Valley City, ND",,Bing Maps,city/town
43.6199989,-95.5963974,"Worthington, MN","Worthington, MN",,Bing Maps,city/town
44.02491,-88.5444336,"Oshkosh, WI","Oshkosh, WI",,Bing Maps,city/town
44.0193481,-92.4591522,"Rochester, MN","Rochester, MN",,Bing Maps,city/town
43.1920509,-89.4626389,"Waunakee, WI","Waunakee, WI",,Bing Maps,city/town
42.025341,-93.6202011,"Ames, IA","Ames, IA",,Bing Maps,city/town
44.3931885,-89.8163681,"Wisconsin Rapids, WI","Wisconsin Rapids, WI",,Bing Maps,city/town
46.8725395,-96.8848419,"West Fargo, ND","West Fargo, ND",,Bing Maps,city/town
45.4590912,-98.4873199,"Aberdeen, SD","Aberdeen, SD",,Bing Maps,city/town
40.9247398,-98.3398972,"Grand Island, NE","Grand Island, NE",,Bing Maps,city/town
44.7932281,-89.7034302,"Mosinee, WI","Mosinee, WI",,Bing Maps,city/town
44.0811615,-103.2308884,"Rapid City, SD","Rapid City, SD",,Bing Maps,city/town
41.6578217,-91.5265274,"Iowa City, IA","Iowa City, IA",,Bing Maps,city/town
41.9292984,-88.7492981,"Dekalb, IL","De Kalb, IL",,Bing Maps,city/town
44.0811615,-103.2308884,"Rapid City, SD","Rapid City, SD",,Bing Maps,city/town
42.5807915,-90.6042633,"Kieler, WI","Kieler, WI",,Bing Maps,city/town
41.5980797,-87.8477936,"Orland Hills, IL","Orland Hills, IL",,Bing Maps,city/town
41.6084404,-88.2123566,"Plainfield, IL","Plainfield, IL",,Bing Maps,city/town
46.7879601,-92.0998535,"Duluth, MN","Duluth, MN",,Bing Maps,city/town
41.7570686,-88.3160629,"Aurora, IL","Aurora, IL",,Bing Maps,city/town
42.4898605,-95.5447693,"Holstein, IA","Holstein, IA",,Bing Maps,city/town
44.0193481,-92.4591522,"Rochester, MN","Rochester, MN",,Bing Maps,city/town
43.042469,-89.4039688,"Madison, WI","Madison, WI",,Bing Maps,city/town
44.02491,-88.5444336,"Oshkosh, WI","Oshkosh, WI",,Bing Maps,city/town
43.042469,-89.4039688,"Madison, WI","Madison, WI",,Bing Maps,city/town
42.9914589,-89.5284195,"Verona, WI","Verona, WI",,Bing Maps,city/town
41.7318802,-93.6052704,"Ankeny, IA","Ankeny, IA",,Bing Maps,city/town
42.032711,-97.4110565,"Norfolk, NE","Norfolk, NE",,Bing Maps,city/town
41.9292984,-88.7492981,"Dekalb, IL","De Kalb, IL",,Bing Maps,city/town
46.8759117,-96.7817612,"Fargo, ND","Fargo, ND",,Bing Maps,city/town
41.5897598,-93.6156464,"Des Moines, IA","Des Moines, IA",,Bing Maps,city/town
44.1075706,-87.6617203,"Manitowoc, WI","Manitowoc, WI",,Bing Maps,city/town
40.1142006,-88.2434998,"Champaign , IL","Champaign, IL",,Bing Maps,city/town
44.0193481,-92.4591522,"Rochester, MN","Rochester, MN",,Bing Maps,city/town
41.6578217,-91.5265274,"Iowa City, IA","Iowa City, IA",,Bing Maps,city/town
43.4563293,-88.8302383,"Beaver Dam, WI","Beaver Dam, WI",,Bing Maps,city/town
41.7570686,-88.3160629,"Aurora, IL","Aurora, IL",,Bing Maps,city/town
41.9292984,-88.7492981,"Dekalb, IL","De Kalb, IL",,Bing Maps,city/town
44.0811615,-103.2308884,"Rapid City, SD","Rapid City, SD",,Bing Maps,city/town
43.0418091,-87.9068375,"Milwaukee, WI","Milwaukee, WI",,Bing Maps,city/town
42.0395584,-88.2832413,"Elgin, IL","Elgin, IL",,Bing Maps,city/town
44.0811615,-103.2308884,"Rapid City, SD","Rapid City, SD",,Bing Maps,city/town
46.8759117,-96.7817612,"Fargo, ND","Fargo, ND",,Bing Maps,city/town
44.0811615,-103.2308884,"Rapid City, SD","Rapid City, SD",,Bing Maps,city/town
44.7208099,-88.0703735,"Sobieski, WI","Sobieski, WI",,Bing Maps,city/town
43.042469,-89.4039688,"Madison, WI","Madison, WI",,Bing Maps,city/town
44.3122215,-94.461113,"New Ulm, MN","New Ulm, MN",,Bing Maps,city/town
44.0193481,-92.4591522,"Rochester, MN","Rochester, MN",,Bing Maps,city/town
44.0193481,-92.4591522,"Rochester, MN","Rochester, MN",,Bing Maps,city/town
44.9595299,-89.6303101,"Wausau, WI","Wausau, WI",,Bing Maps,city/town
